id_fuente,nombre_fuente,entidad_responsable,sigla,tipo_fuente,periodicidad,anio_inicio,anio_fin,nivel_desagregacion,calidad_dato,confiabilidad,limitaciones,url_acceso,notas_metodologicas,fecha_consulta
1,"Estadísticas Vitales - Nacimientos","Departamento Administrativo Nacional de Estadística",DANE,"Registro administrativo",Anual,1998,2024,Municipal,ALTA,95%,"Subregistro en zonas rurales dispersas (5-15%). Calidad mejora desde 2008 con sistema RUAF-ND.",https://www.dane.gov.co/index.php/estadisticas-por-tema/salud/nacimientos-y-defunciones,"Certificados de nacido vivo. Cobertura nacional. Datos validados con Ministerio de Salud. Ajustes por subregistro en algunos municipios.",2024-11-15
2,"Censo Nacional de Población y Vivienda 2018",DANE,DANE,Censo,Censal,2018,2018,Municipal,ALTA,92%,"Cobertura del 92% nacional. Mayor omisión en zonas de conflicto y rurales dispersas. Datos ajustados por omisión censal.",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/censo-nacional-de-poblacion-y-vivenda-2018,"Microdatos anonimizados. Factores de expansión disponibles. Conciliación censal realizada.",2024-11-15
3,"Proyecciones de Población Municipal",DANE,DANE,Proyección,Anual,1985,2035,Municipal,MEDIA-ALTA,85%,"Basadas en CNPV 2018 con ajustes post-COVID. Mayor incertidumbre en municipios pequeños (<10,000 hab). Retroproyecciones 1985-2017 conciliadas.",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,"Método de componentes. Actualización anual. Series por sexo y edades simples.",2024-11-15
4,"Encuesta de Calidad de Vida (ECV)",DANE,DANE-ECV,Encuesta,Anual,1997,2023,"Departamental (parcial municipal)",ALTA,90%,"Representatividad municipal limitada. Errores muestrales en municipios pequeños. Algunos indicadores solo departamentales.",https://www.dane.gov.co/index.php/estadisticas-por-tema/pobreza-y-condiciones-de-vida/encuesta-de-calidad-de-vida-ecv,"Muestra: 80,000+ hogares. Diseño probabilístico. Factores de expansión.",2024-11-15
5,"Gran Encuesta Integrada de Hogares (GEIH)",DANE,DANE-GEIH,Encuesta,Mensual,2006,2024,"23 ciudades principales",ALTA,95%,"Solo 23 ciudades principales con representatividad. No cubre zonas rurales dispersas. Datos municipales solo para capitales.",https://www.dane.gov.co/index.php/estadisticas-por-tema/mercado-laboral/empleo-y-desempleo,"Muestra mensual: 60,000 hogares. Rotación de panel. Ajustes estacionales.",2024-11-15
6,"Índice de Pobreza Multidimensional (IPM)",DANE,DANE-IPM,"Indicador compuesto",Anual,2010,2023,Municipal,ALTA,92%,"Basado en CNPV 2018 para municipios. Actualizaciones con ECV y GEIH. Metodología Alkire-Foster.",https://www.dane.gov.co/index.php/estadisticas-por-tema/pobreza-y-condiciones-de-vida/pobreza-multidimensional,"5 dimensiones, 15 indicadores. Ponderaciones estandarizadas.",2024-11-15
7,"Necesidades Básicas Insatisfechas (NBI)",DANE,DANE-NBI,"Indicador compuesto",Censal,1985,2018,Municipal,ALTA,93%,"Solo disponible en años censales (1985, 1993, 2005, 2018). No tiene actualización intercensal.",https://www.dane.gov.co/index.php/estadisticas-por-tema/pobreza-y-condiciones-de-vida/necesidades-basicas-insatisfechas-nbi,"5 componentes. Umbrales definidos. Comparabilidad histórica limitada por cambios metodológicos.",2024-11-15
8,"Tecnologías de la Información - Internet Fijo y Móvil",MinTIC,MinTIC,"Registro administrativo",Trimestral,2010,2024,Municipal,ALTA,98%,"Datos de operadores (reporte obligatorio). Posible sobreestimación en cobertura por duplicidad de tecnologías.",https://colombiatic.mintic.gov.co/679/w3-channel.html,"Suscriptores únicos. Velocidades efectivas. Cobertura geográfica por municipio.",2024-11-15
9,"Sistema Integrado de Matrícula (SIMAT)",MEN,MEN-SIMAT,"Registro administrativo",Anual,2004,2024,Municipal,ALTA,97%,"Cobertura del sector oficial casi completa. Subregistro en sector privado (5%). Posible duplicidad de registros.",https://www.mineducacion.gov.co/portal/,"Matrícula por niveles educativos. Desagregación por zona, sexo, edad. Indicadores de eficiencia interna.",2024-11-15
10,"Pruebas Saber 11",ICFES,ICFES,"Evaluación estandarizada",Semestral,2000,2024,Municipal,ALTA,96%,"Representa estudiantes que presentan el examen (sesgo de selección). No incluye desescolarizados. Cambios en escala 2014.",https://www.icfes.gov.co/,"Puntajes en 5 áreas. Índice socioeconómico. Resultados por municipio de la institución educativa.",2024-11-15
11,"TerriData - Sistema de Estadísticas Territoriales",DNP,DNP,"Sistema de información",Anual,2010,2024,Municipal,ALTA,90%,"Compilación de múltiples fuentes. Posible desactualización en algunos indicadores. Verificar fuente original.",https://terridata.dnp.gov.co/,"Más de 1,000 indicadores. API de consulta. Fichas municipales.",2024-11-15
12,"SISPRO - Sistema de Salud",Ministerio de Salud,SISPRO,"Registro administrativo",Anual,2007,2024,Municipal,ALTA,94%,"Subregistro en eventos de interés en salud pública (10-20%). Calidad variable entre territorios.",https://www.sispro.gov.co/,"Afiliación, prestaciones, mortalidad. Datos abiertos disponibles.",2024-11-15
